　,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,わ,お,ん,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ,ゃ,ゅ,ょ,ヴ,ぁ,ぃ,ぅ,ぇ,ぉ,っ,ー
む,-5568,-5490,-5568,-5568,-5568,-5334,-5568,-5412,-5568,-5568,-5490,-5412,-5568,-5490,-5568,-5568,-5568,-5412,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5412,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
め,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-4632,-5568,-5490,-4788,-5568,-5490,-5412,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5412,-5568,-5568,-5256,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
も,-4866,-5178,-4554,-5568,-5490,-5412,-5490,-5568,-5568,-5412,-5568,-5490,-5568,-5412,-5412,-5568,-5412,-5568,-5412,-5334,-4242,-5334,-5568,-5568,-4164,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5490,-5568,-5412,-5568,-5568,-5100,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4866,-5568
や,-5256,-5568,-5568,-5568,-5178,-5490,-5178,-5568,-5568,-5412,-5568,-5490,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5178,-5022,-5490,-5568,-5568,-5568,-5256,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-4866,-5022,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4398,-5568
ゆ,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
よ,-5568,-5334,-2292,-5568,-5568,-5334,-5568,-5490,-5490,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4788,-5568
わ,-5568,-5568,-5568,-5568,-5568,-4554,-5568,-5568,-5178,-5568,-5490,-5412,-5568,-5412,-5568,-5568,-5490,-5568,-5334,-5490,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568
お,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ん,-5568,-5568,-5568,-5568,-5256,-4164,-5412,-5568,-5568,-5256,-5490,-5490,-5178,-5178,-5568,-4788,-5568,-5568,-5412,-3384,-3774,-5178,-5568,-5022,-4632,-5256,-5568,-5568,-5568,-5568,-4398,-5568,-5568,-5568,-5490,-4788,-5568,-5490,-5334,-5568,-5568,-5412,-5568,-5568,-5568,-5490,-5334,-5568,-5568,-5022,-5256,-3930,-5568,-5568,-1824,-5256,-5568,-5568,-5568,-5490,-5334,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
が,-4710,-4944,-5412,-5412,-5178,-5490,-5100,-5490,-5334,-5568,-5412,-4710,-5412,-5490,-5334,-4944,-5490,-5256,-5100,-5412,-4710,-5334,-5568,-5568,-5568,-5178,-5256,-5412,-5568,-5568,-5490,-5256,-5568,-5412,-5568,-5490,-5568,-5412,-5100,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5490,-5568,-5490,-5412,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490
ぎ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぐ,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
げ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-5490,-5568,-5490,-5334,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ご,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ざ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
じ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5334,-5568,-5490,-5178,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5256,-5490,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4944,-5490
ず,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568
ぜ,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
ぞ,-5568,-5490,-5412,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
だ,-5490,-5100,-5568,-5568,-5568,-5178,-5412,-5568,-5178,-5490,-5490,-4164,-5256,-5568,-5568,-5568,-5568,-5490,-5568,-4242,-5256,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5412,-5568,-5568,-5568,-5568,-5568,-5178,-5178,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-2682,-5490
ぢ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
づ,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
で,-4164,-4866,-5568,-5568,-5490,-5412,-5490,-5412,-5490,-5412,-5568,-4866,-1668,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5490,-5568,-5568,-5568,-4944,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-4710,-5490,-5568,-5490,-5568,-5568,-5178,-5568,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4398,-5568
ど,-5568,-5490,-4320,-5568,-5568,-5568,-5568,-5100,-5568,-5100,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-4944,-5490,-5568,-5490,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5412,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ば,-5568,-5412,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
び,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5412,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568
ぶ,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568
べ,-5568,-5568,-5568,-5568,-5490,-5568,-5412,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490
ぼ,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
ぱ,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5490
ぴ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぷ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぺ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5100,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
ぽ,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5100,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490
ゃ,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ゅ,-5568,-5568,-5178,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568
ょ,-5568,-5568,-5022,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4866,-5490
ヴ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぁ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぃ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぅ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぇ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490
ぉ,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
っ,-5568,-5568,-5568,-5568,-5568,-4632,-5256,-5022,-5178,-5568,-5490,-4866,-5568,-4944,-5490,10578,-5568,-5490,3090,-1902,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5100,-5568,-5412,-5178,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
